STATE FIPS,COUNTY FIPS,PLANNING REGION FIPS,PLANNING REGION NAME,TOWN FIPS,TOWN NAME,SEX,AGEGRP,AGE_CODE,ALL_RACE-ETHN,NH_WHITE,NH_BLACK,NH_AIAN,NH_ASIAN,NH_NHOPI,NH_TOM,HISP
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,00--04,1,518,318,21,0,36,0,27,116
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,05--09,2,603,380,19,1,50,0,35,118
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,10--14,3,729,458,38,3,39,1,32,158
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,15--19,4,669,453,19,0,58,0,32,107
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,20--24,5,552,396,17,2,31,0,21,85
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,25--29,6,487,364,12,1,20,0,8,82
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,30--34,7,563,394,18,2,29,0,13,107
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,35--39,8,674,473,43,1,57,0,8,92
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,40--44,9,692,467,26,2,54,0,19,124
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,45--49,10,649,478,20,0,55,0,7,89
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,50--54,11,744,584,29,1,50,0,9,71
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,55--59,12,783,674,21,0,34,0,6,48
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,60--64,13,767,659,17,1,33,0,11,46
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,65--69,14,628,549,21,0,18,0,12,28
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,70--74,15,448,409,9,0,13,0,2,15
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,75--79,16,299,276,3,1,8,0,2,9
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,80--84,17,161,138,8,0,7,0,1,7
09,001,190,Western Connecticut Planning Region,04720,Bethel town,MALE,85+,18,131,111,8,0,3,0,2,7
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,00--04,1,474,301,16,1,18,0,23,115
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,05--09,2,592,365,24,0,43,0,28,132
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,10--14,3,683,441,36,1,49,0,28,128
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,15--19,4,559,380,30,0,38,0,25,86
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,20--24,5,534,377,25,0,39,0,21,72
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,25--29,6,510,352,16,0,26,0,11,105
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,30--34,7,553,370,23,0,56,0,10,94
09,001,190,Western Connecticut Planning Region,04720,Bethel town,FEMALE,35--39,8,654,436,36,3,55,0,11,113
